1	10	0.20035175879396983
1	49	0.20140178064027278
1	15	0.26753900352289883
1	57	0.09316917144985322
1	2	132.9
1	64	0.08915349461238523
1	23	0.09293300118001836
1	73	0.11624753990815657
1	37	0.13638637675582066
1	96	0.09274249825540824
1	41	0.10655747093522708
1	42	0.15102272727272728
1	43	0.06823549546465855
1	47	0.062032751176630756
1	48	0.04293923518958714
10	60	0.051536602209944764
10	64	0.04449848364149652
10	8	0.06436223974125733
100	67	0.1477013368112162
102	52	0.08003607033715747
102	53	0.04883436582980111
102	81	0.04292777300085985
102	23	0.06982212315895285
103	33	0.2059272712263178
104	61	0.21686310063463285
11	49	0.1069899602197386
113	27	0.14519858541893363
116	42	0.21517045454545458
12	50	0.10374149659863947
12	25	0.10636312286647512
12	48	0.046644050064234235
13	1	0.14520943064961123
13	49	0.29245437898591903
13	55	0.08437813120547995
14	37	0.12927116071237682
14	45	0.08761984256715243
14	55	0.0550764241861143
15	62	0.0371078187250996
15	89	0.029085426547221734
16	89	0.10447040224837519
16	76	0.19237196765498654
17	23	0.08505455763879784
17	26	0.11568518665292858
17	27	0.11580975698222706
17	33	0.10041138674481641
17	39	0.09852271850651854
17	53	0.0594880991196609
18	26	0.06505508440992312
18	49	0.10365599545368441
18	50	0.0491520551882725
19	22	0.10500698184719731
19	48	0.02834614171532314
19	72	0.06766675664905585
20	1	0.1391898670679709
20	34	0.16960250606459992
20	67	0.1206281925877622
21	44	0.1253176559833112
22	48	0.026994530474717872
23	41	0.1146605291793139
23	60	0.11110637517265194
23	80	0.10855737601214575
23	82	0.08328843913803145
23	9	0.11584143377885783
23	30	0.11794329896907217
23	33	0.11805526891484708
25	1	0.10212942061700528
25	11	0.19225212464589236
25	21	0.0958545197740113
25	57	0.09515313499539939
25	77	0.1289494101813
26	15	0.21165911759771855
26	38	0.09196447165646218
26	43	0.05398339893890125
26	53	0.05142239973915879
26	61	0.09532336053188276
26	73	0.0919673445586413
27	61	0.09522082631783448
27	73	0.09186842023054576
27	88	0.06962450873620911
27	24	105.02857142857142
27	26	0.09989243537630633
27	29	0.11008643135819517
27	59	0.05076997444927837
28	94	0.058061136002312476
28	1	0.07556903686982694
28	32	0.06452895349771103
28	43	0.05156490672599692
28	50	0.07216962489221042
28	75	0.13336007524621002
28	8	0.09744693753790176
28	81	0.04317766552020637
29	1	0.0717874759635482
29	119	95.40555555555557
29	53	0.04666068905553744
29	64	0.06400104351552928
