1	1329.0
10	663.3333333333334
100	2265.0
102	998.5
103	2494.5
104	2392.0
11	706.0
113	1525.0
116	1893.5
12	1443.6666666666667
13	1929.8333333333333
14	1259.6666666666667
15	496.75
16	1784.25
17	1216.3333333333333
18	684.0
19	877.3333333333334
20	1849.8333333333333
21	1416.0
22	835.5
23	1430.0625
25	1357.3
26	1051.4166666666667
27	1050.2857142857142
28	1004.3125
29	954.0555555555555
3	1262.75
30	1212.5
31	1103.2
32	1556.375
33	1211.35
34	1090.6875
35	1145.9285714285713
36	951.5
37	974.4375
38	1143.2857142857142
39	1234.5714285714287
4	1332.0
40	1088.0
41	1247.2142857142858
42	880.0
43	1947.6666666666667
44	1129.9285714285713
45	1437.65
46	1258.3
47	2142.4166666666665
48	3095.0714285714284
49	659.875
5	1644.5
50	1391.6
51	1115.0
52	1247.5625
53	2044.6666666666667
54	948.6666666666666
55	2287.125
56	1071.4285714285713
57	1426.4375
58	1130.9
59	2068.714285714286
60	1287.111111111111
61	1103.0
62	1338.6666666666667
63	1138.6
64	1490.6875
65	1816.75
66	1609.625
67	1533.5
68	1201.5
69	735.75
7	616.25
70	986.25
71	1732.2857142857142
72	1296.55
73	1143.25
74	1503.5
75	753.0833333333334
76	927.5
77	1052.5833333333333
78	1735.0
79	1042.0
8	1030.625
80	1317.3333333333333
81	2326.0
82	1717.0
83	1162.4166666666667
84	1060.0
85	1933.0
86	1724.25
87	2132.6666666666665
88	1508.5
89	1707.9
9	1234.5
90	944.3333333333334
91	1579.8333333333333
93	1251.0
94	1729.75
95	1902.5
96	1433.0
97	2400.5
98	1638.25
